title,company,location,city,state,zip_code,date_posted,salary,description,url,apply_url,scraped_at,source_site,job_board_type,setting_type,job_type
Speech Language Pathologist CF or SLP/CCC,Torrington Center for Nursing & Reha,"Torrington, CT 6790",Torrington,CT,6790,,,"Torrington Center for Nursing and Rehab and Waterbury Center for Nursing and Rehab is currently seeking a Full Time, Part Time or PRN Speech Language Pathologist (SLP)CCC. CFY welcome to apply! to join their IN-HOUSE team in Torrington, CT and Waterbury Center, CT Great opportunity to join a progressive therapy team. We place high importance on attracting dynamic healthcare professionals who share a philosophy of quality patient/clinical care in a welcoming, respectful, and cohesive team environment.

This is a split position between two centers.  ( Waterbury/Torrington) 

Duties Include:

Evaluate Residents conditions for swallowing or cognitive deficits
Help Residents in their goals to improve Cognition or Swallowing
Education for Residents and Caregivers
Provide skilled, medically necessary speech and language therapy assessments as well as develop and implement individualized treatment plans to increase client’s independence and functioning
Provide augmentative and alternative communication (AAC) systems for individuals with severe expressive and/or language comprehension disorders
Provide training and education to client, family, caregivers and other professionals as a subject matter expert
Coordinate and collaborate with other professionals for diagnostic swallowing procedures (MBSS, FEES) as ordered by physician
Demonstrate competent technical skills according to current Speech Therapy standards of practice
Communicate changes in resident’s condition
Provide accurate and timely billing records and supporting clinical documentation
Respond to family requests and concerns timely
Coordinate and provide training with Restorative Nursing and other Care staff
Assure resident abuse or neglect does not occur
Observe confidentiality and safeguards for all patient information
Complies with federal, state, and local legal and professional requirements

Career Advantages

Rare in-house opportunity- NOT CONTRACTED
Practice in an environment built on integrity and progressive, ethical care
Electronic documentation system
Work collaboratively with a supportive team of therapists and nursing staff
Comprehensive benefits package

The rehab team is strategically designed with growth, opportunity, and career enrichment in mind! We believe our commitment to compassionate care, innovative solutions, patient-focused programs, and a reward-for-results culture will enrich the lives of patients and employees alike. Don’t wait to start making a difference – the change begins today.
All inquiries will be held confidential
AA/EEO/M/F/D/V
 
 
 
 
 
 
 
 
 ",https://jobs.apploi.com/view/1113665?utm_campaign=jobs_snippet&utm_source=torrington-nh-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753195809.2326577,,2025-07-22T14:50:19.622897,Torrington Center for Nursing & Reha,apploi,snf,
MDS Coordinator (remote),Waterbury Center for Nursing & Rehab,"Waterbury, CT 6702",Waterbury,CT,6702,,,"Waterbury Center for Nursing and Rehabilitation is seeking a remote part time MDS Cordinator to join out team. Must be located in CT.
The primary purpose of this position is to plan, organize and direct the MDS department and process in accordance with federal and state guidelines and regulations that govern the center. The successful candidate will be a Registered Nurse in Connecticut with MDS experience and an unemcumbered licesnes to practice.  We are seeking a candidate who will excel in working with OBRA assessments, Medicare PDPM and Case Mix Index.   
The candidate must be knowledgeable of nursing and medical practices and procedures, as well as laws, regulations and guidelines that pertain to long term care.  In addition, the candidate must possess leadership and supervisory ability and willingness to work harmoniously with professional and line staff.
CT licensed Lpn or RN ",https://jobs.apploi.com/view/743300?utm_campaign=jobs_snippet&utm_source=waterbury-nh-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753195837.5648503,,2025-07-22T14:50:47.980356,Waterbury Center for Nursing & Rehab,apploi,snf,
Recreation Director,West Haven Center for Nursing & Reha,"West Haven, CT 6516",West Haven,CT,6516,,,"West Haven Center for Nursing and Rehabilitation is seeking a Therapeutic Recreation Director to join its team. 
Job Duties include:

Plans and manages a comprehensive facility wide therapeutic recreation program.
Ensures activities are being done on a daily basis.
Conducting patient programs in areas of social interaction, theater, games, crafts and music.
Communicates results of patient care to necessary parties.

Experience in long term care is preferred. ",https://jobs.apploi.com/view/778916?utm_campaign=jobs_snippet&utm_source=west-haven-nh-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753195866.1633582,,2025-07-22T14:51:16.842682,West Haven Center for Nursing & Reha,apploi,snf,
Receptionist Evenings 4 to 8 and every other weekend 9 to 5,Atlas Healthcare,,,CT,,,,"RECEPTIONIST
Come join our growing team at Shrewsbury Rehabilitation and Nursing. For those who are motivated and enjoy working in a caring environment, we have a full-time opportunity for a Activity Assistant. 
Position Summary:
The receptionist is responsible for operation of the switchboard and paging system. The receptionist is the first impression upon entering the building. Responsible to greet and screen all vistors upon entering. 
Education, Experience, and Licensure Requirements:
• Must be a high school graduate or equivalent
• Prior experience with geriatrics preferred
Job Requirements:
• Must possess the ability to make independent decisions when circumstances warrant such action
• Maintains professional working relationships with all employees, vendors, etc.
• Maintains confidentiality of all proprietary and/or confidential information
• Must understand and follow company policies including harassment and compliance procedures
• Must exhibit excellent customer service and a positive attitude towards patients and visitors
• Must be able to assist in the evacuation of patients
• Must demonstrate dependable, regular attendance
• Must be able to concentrate and use reasoning skills and good judgment
• Must be able to communicate and function productively on an interdisciplinary team
• Must be able to sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
• Must be able to read, write, speak, and understand the English language
 ",https://jobs.apploi.com/view/1539873?utm_campaign=jobs_snippet&utm_source=Atlas_Healthcare-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753195894.4758127,,2025-07-22T14:51:57.332715,Atlas Healthcare,apploi,snf,
Food Service Director,iCare Health Network,,,CT,,,,"The primary role of Food Service Director is to supervise a team of Dietary staff and direct the overall operation of the Dietary Department in accordance with current federal, state, and local standards, guidelines and regulations and assures that quality nutritional services are provided on a daily basis.
 
Responsibilities: 
•Manages all Dietary staff and ensures accountability to all standards.
•Ensures that healthy and nutritious food selections are available to all residents.
•Ensures that all food handling precautions are adhered to at all times.
•Responsible for providing training and development to all Dietary staff such as meal planning, meal preparation, and sanitary/ cleanliness.
•Plans and manages creative menus and variety of meal choices.
•Ensures the kitchen is properly stocked with food, supplies, and equipment.
•Operates kitchen in a clean, safe, and sanitary manner.
 
Qualifications:
Must have experience in preparing meals, putting menus together, meeting food safety regulations and providing nutritional information.
Must have degree in dietetics or food service management or related field.
Must have working knowledge (experience preferred) with various software programs such as WORD, OUTLOOK and EXCEL. Must be able to manage multiple projects and work with all disciplines in a challenging multi-cultural environment.
Must be knowledgeable of Quality Assurance/Improvement process as well as state/federal regulations and surveys.
Must be highly organized, energetic, and motivated. Must possess good written and verbal communication skills and be able to supervise a staff of assistants. Must be able to speak and write the English language.
This position requires 3 years’ experience in an industry including supervision of staff.
Must have successfully completed a ServeSafe certification program.
 
Compensation & Benefits
• Generous salary, commensurate with experience
• Benefits program, includes health, dental, and vision insurance
• Paid Time Off, including vacation, personal, and sick time
• 401(k) Retirement program
• Short and Long-term disability insurance
• Collaborative work environment
 
 
 
INDLP",https://jobs.apploi.com/view/1334674?utm_campaign=jobs_snippet&utm_source=iCare_Health_Network-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753196090.5920377,,2025-07-22T14:55:09.644307,iCare Health Network,apploi,snf,
Resident Care Coordinator Assistant (RCCA),Athena Health Care Systems,,,CT,,,,"We are hiring a full-time Resident Care Coordinator Assistant (RCCA) to join our dynamic care team at Southbridge Rehabilitation & Health Care Center!1p-9p shift with weekly pay.Working with our team and residents will give you purpose in your professional and personal life.Here at Athena Health Care Systems, our employees are the heart of our organization, and we take immense pride in their dedication. We are not only committed to delivering high-quality care and customer service to our residents and their families, but we also aspire to be the employer of choice. We strive to create a workplace where your skills and talents are nurtured to allow you to grow within the company. As a Resident Care Coordinator Assistant, you will assist the Resident Care Coordinator in the day-to-day activities of the Resident Assessment Process.Experience & Education:Previous experience with the MDS process is preferred.Active and unencumbered Certified Nursing Assistant (CNA) license and experience is required.Knowledge of medical terminology, filing, typing, computer, and organizational skills.A high school diploma or its equivalent.Duties & Responsibilities:Assists with monitoring of ADL Flow Sheets with observation of ADLs to ensure accuracy of coding.Provides education to CNAs on ADL coding.Maintains tracking form to evaluate progress of CNAs who have been identified as needing on-going education and provides the information to the RCC/MDS Director so that he/she can follow up.Enters demographic information into Minimum Data Sheet (MDS) software system.Completes discharge and re-entry MDS forms.Schedules resident care plan meetings and sending out invitations to family members.Coordinates teleconference meetings with family members, if requested.Schedules OBRA MDS for all LTC residents.Follows up with interdisciplinary team members on non-completed sections of MDS.Retrieves/Prints and faxes medical records to managed care companies for utilization review purposes.Transmits MDSs to the State database.Prints and files MDS, CAAs and care plans.Retrieves QM reports and emails to facility and Athena staff.Reproduces care plans that have been edited by interdisciplinary team members.Tracks and schedules all Medicare certifications and recertification.Mails and tracks all Medicare denial letters.Retrieves/prints and faxes medical records to QIO for any requested appeals.Assists with compiling medical records and preparing for submission with subsequent level appeals to QIC, ALJ, etc.Specific Requirements:Must be able to read, write, speak, and understand the English language.Must posses the ability to make independent decisions when circumstances warrant such action.Must posses the ability to deal tactfully with personnel, residents, family members, visitors, and the general public.Must posses the ability to seek out new methods and principles and be willing to incorporate them into existing practices.About Athena Health Care Systems:Since its establishment in 1984, Athena Health Care Systems has pioneered the delivery of exceptional healthcare services. Operating nursing homes and hospice agencies across Connecticut, Massachusetts, and Rhode Island, Athena stands out as a healthcare leader in Southern New England.Athena’s Benefits:Competitive and Weekly PayHoliday Pay for Hourly and Salaried EmployeesOvertime Pay for Hourly EmployeesCareer Advancement OpportunitiesExclusive Employer Discount ProgramAvailable for Eligible Team Members:Employer-Paid Life Insurance401(k) with Employer MatchVacation and Personal TimeHealth, Dental, and Vision InsuranceWe are an equal opportunity employer that values diversity at all levels. All individuals, regardless of personal characteristics, are encouraged to apply. Athena Health Care Systems and its managed facilities/agencies follow federal and state mandatory guidelines regarding staff vaccinations; our vaccination policy requires all newly hired staff, regardless of position or work location, to be fully vaccinated against COVID-19 unless they receive an approved exemption from Athena, except where prohibited by state law.",https://jobs.apploi.com/view/1337184?utm_campaign=jobs_snippet&utm_source=athena-health-care-associates-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196157.1887867,,2025-07-22T14:56:08.383730,Athena Health Care Systems,apploi,mixed,
Jobs at Apple Rehab,Apple Rehab,,,CT,,,,,,,2025-07-22T14:58:57.701661,Apple Rehab,apploi,snf,
Cook,Complete Care at Glendale Center LLC,"Naugatuck, CT 6770",Naugatuck,CT,6770,,,"Cook

PRN/Per Diem Position Available
Varied Schedule: Day Shift (5:30-1:30) and Evening Shift (11:30-7:30) Available
Every Other Weekend Requirement 
Pay Rate: Starts at $20.00
Eligible for Shift Differential Pay 

Complete Care at Glendale is located at 4 Hazel Ave in Naugatuck, CT.  We approach every day with one goal: To improve the lives we touch through high-quality healthcare and extraordinary compassion. Now Hiring: Cook.
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment and utilize all your nursing skills daily.
You will develop deep personal relationships with patients and their families.
We are committed to your growth and success- that is why we offer an excellent orientation, training, and development programs.
Receive a competitive salary and benefits package.

Now Hiring: Cook
Responsibilities:

Prepare food according to selected menus and approved recipes.
Complete the preparation of all food items in a timely manner and assure that all foods meet required serving temperatures.
Comply with health, sanitation, safety, and food handling standards.
Adhere to quality and cost containment standards.

Qualifications:

At least one year experience working in a Skilled Nursing Facility dietary setting.
Excellent customer service, communication skills, and the ability to multitask.
Ability to operate institutional kitchen equipment.
SERVSAFE certification preferred
Knowledge of quantity cooking.  

Now Hiring: Per Diem Cook
Complete Care at Glendale is an equal opportunity employer. 
 
#LI-GM1
52025
 ",https://jobs.apploi.com/view/1531492?utm_campaign=jobs_snippet&utm_source=completecareglendale-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753196345.6349063,,2025-07-22T14:59:29.258339,Complete Care at Glendale Center LLC,apploi,snf,
Director of Social Services,Fox Hill,"Vernon, CT 6066",Vernon,CT,6066,,,"Director of Social Services

Full Time
Monday - Friday
Manager On Duty Rotation
LSW Required (minimum)

Complete Care at Fox Hill is a pillar in the community of Vernon, CT.  We approach every day with one goal:  To improve the lives we touch through high-quality healthcare and extraordinary compassion.
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment.
We are committed to your growth and success.
Come join employees who have become family!
Work today, get paid today!  Complete Care has partnered with DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.

Now Hiring: Director of Social Work
Responsibilities Director of Social Work:

Identifies cognitive impairments, mood problems and other psycho-social needs in residents.
Maintain accurate, thorough, and timely documentation.
Review Advanced Directives and provide education to residents and family members as needed.
Help provide a smooth admission and discharge process for residents and family members.
Other duties as assigned by Administrator.

Qualifications Director of Social Work:

Prior experience managing staff is preferred.
Ability to work independently or part of a group.
Computer knowledge.
Previous long term care experience is preferred but not required

License:

Must have active LSW or CSW license.

Now Hiring: Director of Social Work
Complete Care at Fox Hill is an equal opportunity employer.
 
#LI-GM1
#CC2024
71524
 
 
 
 
 ",https://jobs.apploi.com/view/1562740?utm_campaign=jobs_snippet&utm_source=complete-care-fox-hill-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196387.5753963,,2025-07-22T15:00:09.595774,Fox Hill,apploi,snf,
Admissions Director,Complete Care at Groton Regency LLC,"Groton, CT 6340",Groton,CT,6340,,,"Admissions Director

Full Time
Day Shift
Long Term Care Experience Preferred

Complete Care at Groton a pillar in the community of Groton, CT.  We approach every day with one goal:  To improve the lives we touch through high-quality healthcare and extraordinary compassion. 
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment.
We are committed to your growth and success.
Come join employees who have become family!
Work today, get paid today!  Complete Care has partnered with DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.

Now Hiring: Admissions Director
Responsibilities of Admissions Director:

         Responsible for managing, planning, and organizing the admission process
         Apply sales and marketing principles when interacting with healthcare professionals including, but not limited to hospitals, home health agencies, case managers, area nursing homes, physicians in private practice for purposes of generating referrals.
        Provide daily updates to the facility and support team
         Conduct facility tours for potential admissions
         Welcome guest and family upon admission
         Other duties as assigned by supervisor

Qualifications of Admissions Director:

         Completion of an Associates or Bachelor’s degree from an accredited college or university with course work in sales, marketing, business administration, social services or related area or work experience.
         Prior sales and marketing experience

Complete Care at Groton is an equal opportunity employer.
#LI-GM1
71825
 
 
 
 
 
 ",https://jobs.apploi.com/view/1565270?utm_campaign=jobs_snippet&utm_source=completecaregrotonregency-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196431.1832583,,2025-07-22T15:01:01.485688,Complete Care at Groton Regency LLC,apploi,snf,
