title,company,location,city,state,zip_code,date_posted,salary,description,url,apply_url,scraped_at,source_site,job_board_type,setting_type,job_type
Infection Preventionist / Staff Development Nurse,RydersHealth,"Chester, Newington and Windham, Connecticut",,CT,,,,,,,2025-07-22T04:41:05.234354,RydersHealth,apploi,snf,Full Time
RN Supervisor (night shift),RydersHealth,"Windham, Connecticut",,CT,,,,,,,2025-07-22T04:41:07.539825,RydersHealth,apploi,snf,Part Time
Dietary Aide,RydersHealth,"Mystic, Connecticut",,CT,,,,,,,2025-07-22T04:41:10.551194,RydersHealth,apploi,snf,Full Time
RN/LPN,RydersHealth,"Mystic, CT",,CT,,,,,,,2025-07-22T04:41:11.730717,RydersHealth,apploi,snf,Full Time
MDS Reimbursement Manager,RydersHealth,"Stratford, Connecticut",,CT,,,,,,,2025-07-22T04:41:13.536410,RydersHealth,apploi,snf,Full Time
Front Desk Receptionist,RydersHealth,"Newington, Connecticut",,CT,,,,,,,2025-07-22T04:41:14.782036,RydersHealth,apploi,snf,Part Time
Occupational Therapist,RydersHealth,"Mystic, Connecticut",,CT,,,,,,,2025-07-22T04:41:16.630408,RydersHealth,apploi,snf,Per Diem
Speech Language Pathologist,RydersHealth,"Waterford, Windham",,CT,,,,,,,2025-07-22T04:41:17.829577,RydersHealth,apploi,snf,Per Diem
Physical Therapist,RydersHealth,"Waterford, Connecticut",,CT,,,,,,,2025-07-22T04:41:19.120457,RydersHealth,apploi,snf,Part Time
Physical Therapy Assistant,RydersHealth,"Waterford, Windham, Stratford, Connecticut",,CT,,,,,,,2025-07-22T04:41:20.296281,RydersHealth,apploi,snf,Part Time
CNA,RydersHealth,"Waterbury, CT",,CT,,,,,,,2025-07-22T04:41:22.020457,RydersHealth,apploi,snf,Full Time
RN / LPN,RydersHealth,"Waterbury, CT",,CT,,,,,,,2025-07-22T04:41:24.391642,RydersHealth,apploi,snf,Full Time
Rehabilitation Aide,RydersHealth,"Chester, CT",,CT,,,,,,,2025-07-22T04:41:25.595357,RydersHealth,apploi,snf,Part Time
LPN Wing Nurse,RydersHealth,"Waterford, CT",,CT,,,,,,,2025-07-22T04:41:28.080562,RydersHealth,apploi,snf,Full Time
Housekeeper,RydersHealth,"Chester, CT",,CT,,,,,,,2025-07-22T04:41:33.172042,RydersHealth,apploi,snf,Per Diem
Cook,RydersHealth,"Newington, CT",,CT,,,,,,,2025-07-22T04:41:34.486436,RydersHealth,apploi,snf,Full Time
LPN Per Diem,New Haven Center for Nursing & Rehab,"New Haven, CT 6511",New Haven,CT,6511,,,"New Haven Center for Nursing and Rehabilitation, part of Essential Care, is located in a beautiful North End of New Haven minutes from I91 and I95, on the North Haven and North Branford town line. We are also in the process of building a state of art facility with 150 private rooms to replace our current location. The new building should be complete in approximately 2 years. Come join the team as we transition into the new facility and be part of something special. 
We are looking for a dynamic LPN to work with our newly hired DNS, ADNS, and experienced nursing team. This is a per diem position. The right candidate will lead their shift to ensure top quality resident care and customer service. The right candidate must be a great communicator and communicate with staff and management alike.
 
We just completed our Annual Survey and had minimal deficiencies and no significant findings. We are also back in compliance.
 
 
 
 
 
 
 
 ",https://jobs.apploi.com/view/944879?utm_campaign=jobs_snippet&utm_source=new-haven-nh-career-page&utm_medium=client-web-site&utm_term=josh-reiss&_=1753159299.5202472,,2025-07-22T04:41:49.996470,New Haven Center for Nursing & Rehab,apploi,snf,
